route               destination         netmask             interface
P1                  143.149.34.0/24     255.255.255.0       S3
P2                  151.180.0.0/17      255.255.128.0       S2
P3                  76.224.0.0/11       255.224.0.0         S2
P4                  19.128.0.0/9        255.128.0.0         S4
P5                  130.24.0.0/15       255.254.0.0         S2
P6                  216.156.244.0/22    255.255.252.0       S2
P7                  156.33.65.226/31    255.255.255.254     S1
P8                  148.225.34.56/31    255.255.255.254     S2
P9                  21.207.92.160/28    255.255.255.240     S2
P10                 196.159.160.0/21    255.255.248.0       S4
P11                 111.248.182.40/29   255.255.255.248     S1
P12                 251.103.224.0/19    255.255.224.0       S2
P13                 117.92.192.0/19     255.255.224.0       S1
P14                 36.0.0.0/8          255.0.0.0           S1
P15                 72.192.0.0/10       255.192.0.0         S3
P16                 210.0.0.0/7         254.0.0.0           S2
P17                 97.84.0.0/14        255.252.0.0         S1
P18                 70.0.0.0/11         255.224.0.0         S2
P19                 40.0.0.0/6          252.0.0.0           S1
P20                 35.0.0.0/9          255.128.0.0         S2
P21                 207.120.0.0/14      255.252.0.0         S4
P22                 176.0.0.0/4         240.0.0.0           S2
P23                 12.64.0.0/11        255.224.0.0         S4
P24                 245.213.160.0/20    255.255.240.0       S2
P25                 128.0.0.0/3         224.0.0.0           S4
P26                 128.0.0.0/7         254.0.0.0           S2
P27                 38.94.182.224/28    255.255.255.240     S3
P28                 19.93.141.0/24      255.255.255.0       S4
P29                 215.99.112.68/30    255.255.255.252     S2
P30                 5.248.0.0/14        255.252.0.0         S4
P31                 0.0.0.0/1           128.0.0.0           S3
P32                 216.0.0.0/8         255.0.0.0           S2
P33                 202.0.0.0/7         254.0.0.0           S1
P34                 90.180.128.0/17     255.255.128.0       S1
P35                 0.0.0.0/1           128.0.0.0           S3
P36                 56.54.101.128/26    255.255.255.192     S2
P37                 32.47.0.0/16        255.255.0.0         S2
P38                 204.6.78.64/29      255.255.255.248     S1
P39                 200.80.0.0/16       255.255.0.0         S1
P40                 176.245.0.0/16      255.255.0.0         S2
P41                 96.0.0.0/8          255.0.0.0           S4
P42                 33.96.0.0/19        255.255.224.0       S2
P43                 79.192.0.0/13       255.248.0.0         S2
P44                 40.106.144.0/20     255.255.240.0       S2
P45                 4.226.75.114/31     255.255.255.254     S3
P46                 88.103.0.0/17       255.255.128.0       S3
P47                 254.126.27.120/29   255.255.255.248     S3
P48                 164.19.112.0/20     255.255.240.0       S4
P49                 243.246.192.0/19    255.255.224.0       S1
P50                 52.0.0.0/8          255.0.0.0           S1
P51                 204.128.0.0/9       255.128.0.0         S1
P52                 206.0.0.0/8         255.0.0.0           S1
P53                 20.67.128.0/20      255.255.240.0       S1
P54                 141.12.128.128/25   255.255.255.128     S1
P55                 173.234.0.0/15      255.254.0.0         S2
P56                 228.37.112.0/21     255.255.248.0       S4
P57                 22.52.128.0/17      255.255.128.0       S1
P58                 140.243.16.0/22     255.255.252.0       S3
P59                 64.0.0.0/4          240.0.0.0           S3
P60                 0.0.0.0/5           248.0.0.0           S2
P61                 192.125.112.120/30  255.255.255.252     S4
P62                 118.16.0.0/12       255.240.0.0         S1
P63                 48.175.64.0/18      255.255.192.0       S2
P64                 251.67.138.128/30   255.255.255.252     S1
P65                 222.64.0.0/10       255.192.0.0         S2
P66                 48.0.0.0/5          248.0.0.0           S4
P67                 66.73.174.0/23      255.255.254.0       S3
P68                 164.175.240.0/21    255.255.248.0       S3
P69                 150.78.97.88/29     255.255.255.248     S2
P70                 68.0.0.0/6          252.0.0.0           S1
P71                 15.0.142.0/23       255.255.254.0       S1
P72                 0.0.0.0/2           192.0.0.0           S4
P73                 48.0.0.0/5          248.0.0.0           S2
P74                 172.0.0.0/6         252.0.0.0           S4
P75                 82.0.0.0/8          255.0.0.0           S2
P76                 214.201.250.64/26   255.255.255.192     S1
P77                 134.0.0.0/7         254.0.0.0           S1
P78                 219.64.0.0/12       255.240.0.0         S3
P79                 100.114.246.144/28  255.255.255.240     S4
P80                 139.184.0.0/13      255.248.0.0         S3
P81                 0.0.0.0/1           128.0.0.0           S2
P82                 59.56.0.0/13        255.248.0.0         S1
P83                 0.0.0.0/1           128.0.0.0           S2
P84                 12.32.0.0/11        255.224.0.0         S3
P85                 9.90.0.0/16         255.255.0.0         S2
P86                 130.32.0.0/11       255.224.0.0         S3
P87                 105.189.0.0/18      255.255.192.0       S3
P88                 108.10.192.0/18     255.255.192.0       S3
P89                 26.138.128.0/17     255.255.128.0       S4
P90                 118.128.0.0/9       255.128.0.0         S3
P91                 46.128.0.0/9        255.128.0.0         S2
P92                 226.240.226.192/26  255.255.255.192     S2
P93                 128.0.0.0/3         224.0.0.0           S4
P94                 59.56.144.0/22      255.255.252.0       S2
P95                 126.168.0.0/14      255.252.0.0         S4
P96                 224.0.0.0/4         240.0.0.0           S1
P97                 236.237.0.0/17      255.255.128.0       S3
P98                 17.239.0.0/17       255.255.128.0       S4
P99                 85.153.99.96/28     255.255.255.240     S1
P100                13.124.0.0/14       255.252.0.0         S4
default             0.0.0.0/0           0.0.0.0             S1
